"X","Y","Z"
0.5,0.5,1783.32871905344
0.5,1.5,1693.72691988239
0.5,2.5,1625.94737050678
0.5,3.5,1576.45979467285
0.5,4.5,1543.04176825568
0.5,5.5,1524.32521193648
0.5,6.5,1519.4986499275
0.5,7.5,1528.11393435428
0.5,8.5,1549.96102001994
0.5,9.5,1584.98548651305
0.5,10.5,1633.23120318922
0.5,11.5,1694.79610361201
0.5,12.5,1769.79495808411
0.5,13.5,1858.33377392047
0.5,14.5,1960.52020985488
0.5,15.5,2076.55040109501
0.5,16.5,2206.85870086149
0.5,17.5,2352.11941406803
0.5,18.5,2512.80516235032
1.5,0.5,1679.89381832063
1.5,1.5,1593.20394651639
1.5,2.5,1528.27882216441
1.5,3.5,1481.12896092294
1.5,4.5,1449.29640101467
1.5,5.5,1431.30015788716
1.5,6.5,1426.28396489969
1.5,7.5,1433.79367610811
1.5,8.5,1453.63641003546
1.5,9.5,1485.78931646557
1.5,10.5,1530.33527940164
1.5,11.5,1587.40820872221
1.5,12.5,1657.13582584763
1.5,13.5,1739.58387422277
1.5,14.5,1834.75752609484
1.5,15.5,1942.82384785356
1.5,16.5,2064.73677478867
1.5,17.5,2202.77589663076
1.5,18.5,2359.34144485184
2.5,0.5,1573.21545293796
2.5,1.5,1490.85690720481
2.5,2.5,1429.63325354099
2.5,3.5,1385.37399262598
2.5,4.5,1355.54077375489
2.5,5.5,1338.62787044894
2.5,6.5,1333.78638625454
2.5,7.5,1340.58969999901
2.5,8.5,1358.88677156332
2.5,9.5,1388.70731838488
2.5,10.5,1430.19160798589
2.5,11.5,1483.51918042216
2.5,12.5,1548.80771006884
2.5,13.5,1625.95928627002
2.5,14.5,1714.50749049333
2.5,15.5,1813.84905114332
2.5,16.5,1924.98562941604
2.5,17.5,2054.10140762854
2.5,18.5,2210.40679870062
3.5,0.5,1463.96167538112
3.5,1.5,1387.51415814352
3.5,2.5,1330.89749406109
3.5,3.5,1290.09310566715
3.5,4.5,1262.6642877033
3.5,5.5,1247.18204881576
3.5,6.5,1242.86351054319
3.5,7.5,1249.34614517493
3.5,8.5,1266.54698389799
3.5,9.5,1294.57096072153
3.5,10.5,1333.63799052748
3.5,11.5,1383.99245112358
3.5,12.5,1445.73635696727
3.5,13.5,1518.48636126036
3.5,14.5,1600.74307751234
3.5,15.5,1689.24165183061
3.5,16.5,1781.08661077934
3.5,17.5,1888.63400393939
3.5,18.5,2050.00467015098
4.5,0.5,1353.35301866726
4.5,1.5,1284.23961570238
4.5,2.5,1233.04107619796
4.5,3.5,1196.19386101317
4.5,4.5,1171.53087506582
4.5,5.5,1157.79432583438
4.5,6.5,1154.32217755808
4.5,7.5,1160.85028154697
4.5,8.5,1177.3888248928
4.5,9.5,1204.14148389345
4.5,10.5,1241.43656955407
4.5,11.5,1289.62562445873
4.5,12.5,1348.86091560958
4.5,13.5,1418.55349792266
4.5,14.5,1496.07288980806
4.5,15.5,1573.87917457985
4.5,16.5,1635.23128097314
4.5,17.5,1673.37011224671
4.5,18.5,1852.25288173143
5.5,0.5,1243.08650887917
5.5,1.5,1182.29871794821
5.5,2.5,1137.09990642251
5.5,3.5,1104.58455216422
5.5,4.5,1082.9740071324
5.5,5.5,1071.25127799737
5.5,6.5,1068.91686884942
5.5,7.5,1075.83196756064
5.5,8.5,1092.12086413553
5.5,9.5,1118.10824014545
5.5,10.5,1154.26426229876
5.5,11.5,1201.11342773772
5.5,12.5,1259.01330414605
5.5,13.5,1327.58151164855
5.5,14.5,1404.23829691664
5.5,15.5,1480.63424101278
5.5,16.5,1534.7853663512
5.5,17.5,1531.7475168035
5.5,18.5,1731.6214027129
6.5,0.5,1135.08240278008
6.5,1.5,1083.04210501535
6.5,2.5,1044.12174322426
6.5,3.5,1016.14829241165
6.5,4.5,997.784465327241
6.5,5.5,988.289116376507
6.5,6.5,987.348243714267
6.5,7.5,994.964537261744
6.5,8.5,1011.39052866746
6.5,9.5,1037.08950102907
6.5,10.5,1072.70419078103
6.5,11.5,1118.99957758742
6.5,12.5,1176.7115074817
6.5,13.5,1246.16066512424
6.5,14.5,1326.38944711248
6.5,15.5,1413.73744852368
6.5,16.5,1502.48563643679
6.5,17.5,1606.54265560281
6.5,18.5,1799.78086136763
7.5,0.5,1031.17606411655
7.5,1.5,987.757694400606
7.5,2.5,955.094886848085
7.5,3.5,931.708889927089
7.5,4.5,916.694665399871
7.5,5.5,909.587553245886
7.5,6.5,910.262358842836
7.5,7.5,918.867437086007
7.5,8.5,935.789206721463
7.5,9.5,961.639190357305
7.5,10.5,997.251954018855
7.5,11.5,1043.67475477567
7.5,12.5,1102.11617200989
7.5,13.5,1173.81040441689
7.5,14.5,1259.81299019561
7.5,15.5,1361.1582189808
7.5,16.5,1481.24999876677
7.5,17.5,1632.96121696426
7.5,18.5,1837.89564525466
8.5,0.5,932.877152882222
8.5,1.5,897.546026493318
8.5,2.5,870.884883063276
8.5,3.5,851.999705463881
8.5,4.5,840.364500684071
8.5,5.5,835.764940976568
8.5,6.5,838.251361557328
8.5,7.5,848.110864091202
8.5,8.5,865.860589208128
8.5,9.5,892.260373945197
8.5,10.5,928.340400095875
8.5,11.5,975.43679372382
8.5,12.5,1035.22727231502
8.5,13.5,1109.77185470272
8.5,14.5,1201.6294700473
8.5,15.5,1314.30822753694
8.5,16.5,1453.49270691857
8.5,17.5,1628.56175571022
8.5,18.5,1851.14157209273
9.5,0.5,841.256256159597
9.5,1.5,813.251523647848
9.5,2.5,792.196041487988
9.5,3.5,777.64381341869
9.5,4.5,769.372637822471
9.5,5.5,767.37638382539
9.5,6.5,771.856216913005
9.5,7.5,783.222308169473
9.5,8.5,802.111429049786
9.5,9.5,829.422631648312
9.5,10.5,866.371664713582
9.5,11.5,914.564553085125
9.5,12.5,976.093589058772
9.5,13.5,1053.67068429009
9.5,14.5,1150.84317068001
9.5,15.5,1272.37704096978
9.5,16.5,1424.83835076189
9.5,17.5,1617.05343945908
9.5,18.5,1859.82547309419
10.5,0.5,756.950429819085
10.5,1.5,735.452820178364
10.5,2.5,719.561953327899
10.5,3.5,709.148372046196
10.5,4.5,704.214846929092
10.5,5.5,704.915465576359
10.5,6.5,711.571496259835
10.5,7.5,724.694531594071
10.5,8.5,745.023458225836
10.5,9.5,773.579684501822
10.5,10.5,811.74433604842
10.5,11.5,861.361738238897
10.5,12.5,924.876171538756
10.5,13.5,1005.51508377947
10.5,14.5,1107.54129619325
10.5,15.5,1236.59793364461
10.5,16.5,1400.13192300177
10.5,17.5,1607.79711412783
10.5,18.5,1871.74006947271
11.5,0.5,680.241764593704
11.5,1.5,664.495188666496
11.5,2.5,653.359020419965
11.5,3.5,646.911121801912
11.5,4.5,645.308527109369
11.5,5.5,648.819046974259
11.5,6.5,657.851654280393
11.5,7.5,672.994256633704
11.5,8.5,695.065433367883
11.5,9.5,725.185689714287
11.5,10.5,764.873721107041
11.5,11.5,816.174099137599
11.5,12.5,881.824858158596
11.5,13.5,965.476701759354
11.5,14.5,1071.97860559365
11.5,15.5,1207.74285380939
11.5,16.5,1381.19029951121
11.5,17.5,1603.26163074222
11.5,18.5,1887.99523573057
12.5,0.5,611.160186428295
12.5,1.5,600.542216001305
12.5,2.5,593.832510529702
12.5,3.5,591.234133728912
12.5,4.5,593.000984587822
12.5,5.5,599.473691017743
12.5,6.5,611.117725764355
12.5,7.5,628.570622616297
12.5,8.5,652.704543757918
12.5,9.5,684.710316972131
12.5,10.5,726.209559002651
12.5,11.5,779.402694721256
12.5,12.5,847.26261098377
12.5,13.5,933.786216066361
12.5,14.5,1044.31865539741
12.5,15.5,1185.96608588578
12.5,16.5,1368.11226216295
12.5,17.5,1603.05518665207
12.5,18.5,1906.78896047914
13.5,0.5,549.577241587593
13.5,1.5,543.628099759407
13.5,2.5,541.125156246548
13.5,3.5,542.339479035568
13.5,4.5,547.578480701935
13.5,5.5,557.221844586208
13.5,6.5,571.76305882665
13.5,7.5,591.862251038855
13.5,8.5,618.416282192581
13.5,9.5,652.652579894101
13.5,10.5,696.254147594696
13.5,11.5,751.524690377315
13.5,12.5,821.604931347494
13.5,13.5,910.753972777732
13.5,14.5,1024.71287693258
13.5,15.5,1171.17135175148
13.5,16.5,1360.36274215176
13.5,17.5,1605.81839846177
13.5,18.5,1925.32058525315
14.5,0.5,495.275765928904
14.5,1.5,493.699748587553
14.5,2.5,495.301386965049
14.5,3.5,500.382560647989
14.5,4.5,509.273348190104
14.5,5.5,522.365891218458
14.5,6.5,540.156570142417
14.5,7.5,563.301539873892
14.5,8.5,592.691466630631
14.5,9.5,629.552272206083
14.5,10.5,675.579996139684
14.5,11.5,733.119669283578
14.5,12.5,805.400503425048
14.5,13.5,896.842915634382
14.5,14.5,1013.45713248556
14.5,15.5,1163.35862900621
14.5,16.5,1357.43279728362
14.5,17.5,1610.19023712618
14.5,18.5,1940.86438324438
15.5,0.5,447.993241315893
15.5,1.5,450.644802241104
15.5,2.5,456.363719761386
15.5,3.5,465.46044367868
15.5,4.5,478.267159079478
15.5,5.5,495.168431726627
15.5,6.5,516.642018548427
15.5,7.5,543.314652163131
15.5,8.5,576.038706432219
15.5,9.5,615.996904629791
15.5,10.5,664.843770473592
15.5,11.5,724.894482985167
15.5,12.5,799.374367964621
15.5,13.5,892.745725225428
15.5,14.5,1011.13346827871
15.5,15.5,1162.8777069806
15.5,16.5,1359.25057275462
15.5,17.5,1615.38665067592
15.5,18.5,1951.49060183051
16.5,0.5,407.443139139498
16.5,1.5,414.306079719167
16.5,2.5,424.260454612424
16.5,3.5,437.613964044421
16.5,4.5,454.688666569367
16.5,5.5,475.847483730822
16.5,6.5,501.531886796144
16.5,7.5,532.315590997222
16.5,8.5,568.98037811585
