"x","y","z"
1,1,423.253140598153
1,2,510.080912714587
1,3,596.204954856202
1,4,354.459267392355
1,5,295.536565846046
1,6,349.11853980271
1,7,442.685601631722
1,8,301.875354854181
1,9,244.200255349557
1,10,242.249687907273
1,11,183.57019373659
1,12,186.371071087807
1,13,164.625030344166
1,14,166.872861132761
1,15,184.870333800951
1,16,226.007177876883
1,17,334.105984817599
1,18,255.751956690505
1,19,304.195967461128
1,20,321.360006339386
2,1,352.736012281523
2,2,373.707855112027
2,3,353.637336980084
2,4,316.906516722805
2,5,297.59864404875
2,6,366.331524263816
2,7,363.867888031576
2,8,283.50285226829
2,9,220.972548252595
2,10,188.203035361482
2,11,184.107931098424
2,12,178.318855141529
2,13,178.851136522459
2,14,181.317403153117
2,15,192.537543184555
2,16,218.675081483989
2,17,221.987678161636
2,18,231.829390330127
2,19,222.353134336422
2,20,227.538211215809
3,1,293.554262815508
3,2,257.563907768607
3,3,242.909378367046
3,4,244.149346489094
3,5,282.441510587004
3,6,304.519250664354
3,7,296.029321729478
3,8,250.883703465497
3,9,193.847122446921
3,10,176.503123779236
3,11,173.924962317958
3,12,184.593613062381
3,13,181.497170272613
3,14,186.00273424383
3,15,199.185349872224
3,16,214.402617352659
3,17,221.430186403693
3,18,215.460879093335
3,19,209.179421207097
3,20,188.121500241734
4,1,210.07304314627
4,2,209.015999960955
4,3,198.605034990491
4,4,218.463825814934
4,5,255.291729880643
4,6,275.945014176891
4,7,257.024730669107
4,8,213.901192909138
4,9,189.692289798029
4,10,179.099638689591
4,11,187.65223632297
4,12,196.296860345199
4,13,201.557463390052
4,14,213.209887042324
4,15,260.695089463085
4,16,369.471301922295
4,17,471.000078769145
4,18,512.547795317805
4,19,471.06015953913
4,20,346.872668363273
5,1,169.300817756263
5,2,189.641464725187
5,3,206.96689868007
5,4,231.255160992004
5,5,271.691627122979
5,6,306.87645848903
5,7,244.572636386127
5,8,202.503872513164
5,9,182.489355198398
5,10,194.095829694018
5,11,220.050988193706
5,12,241.685481739906
5,13,263.785073855071
5,14,274.22013202854
5,15,411.803041682399
5,16,1110.41819045152
5,17,1963.77205922617
5,18,2549.51044773716
5,19,1988.9825568612
5,20,1269.11589729524
6,1,208.561263795937
6,2,225.756675076176
6,3,256.429039110392
6,4,303.251886551077
6,5,320.979852338247
6,6,306.210020569125
6,7,275.960908053807
6,8,213.362214976955
6,9,194.095037319304
6,10,214.817884971367
6,11,259.000069704637
6,12,314.32260184142
6,13,336.021641318437
6,14,356.103864063525
6,15,596.043974994908
6,16,2035.64570829576
6,17,9864.32973782885
6,18,11506.7012128583
6,19,9877.59813647625
6,20,2430.76398778796
7,1,338.328218494472
7,2,335.219341116359
7,3,336.955960988677
7,4,425.17747836258
7,5,435.316198235873
7,6,392.847675432161
7,7,292.918663998528
7,8,244.839621936015
7,9,216.241395258439
7,10,230.606534459032
7,11,276.638276878348
7,12,345.664468839968
7,13,389.000606943107
7,14,413.487521159478
7,15,717.644654482933
7,16,2668.39624136215
7,17,11433.7887425769
7,18,68168.2460842599
7,19,10663.3341008723
7,20,3488.83257434246
8,1,558.765080041453
8,2,402.962095907152
8,3,416.1614285598
8,4,495.201923169413
8,5,666.175819224928
8,6,439.077276568778
8,7,319.353276675012
8,8,274.043279615772
8,9,241.238335692022
8,10,235.998581352229
8,11,254.23705105892
8,12,290.704618011915
8,13,343.231162788076
8,14,442.16325283927
8,15,705.84939388997
8,16,2121.70887620243
8,17,9042.77563980999
8,18,10664.5014414017
8,19,8940.42542765476
8,20,2427.53694170957
9,1,432.627292749115
9,2,418.683965840763
9,3,395.276109029534
9,4,522.441223696136
9,5,517.87736697981
9,6,458.256930441129
9,7,351.851155581021
9,8,293.730725117945
9,9,258.399911995412
9,10,229.995477700191
9,11,228.526701327885
9,12,246.592983383261
9,13,287.830532438077
9,14,375.235516428214
9,15,602.375562147403
9,16,1222.06120383498
9,17,2019.78703632646
9,18,2543.55035981274
9,19,1984.94343987302
9,20,1278.52603297932
10,1,365.853548980548
10,2,339.038321675838
10,3,329.725983040682
10,4,344.605419231786
10,5,380.711435188831
10,6,367.615426346428
10,7,381.991267325657
10,8,297.264565799556
10,9,243.87538439123
10,10,226.679664963083
10,11,210.042408909374
10,12,217.114542487384
10,13,247.240831534624
10,14,305.870090528825
10,15,386.782866891937
10,16,480.862096194771
10,17,599.849945263838
10,18,635.188451284177
10,19,558.078329354786
10,20,419.512452822481
11,1,302.911535479116
11,2,270.998091465775
11,3,244.375968122952
11,4,232.728779381302
11,5,243.333346590528
11,6,278.608054459551
11,7,288.523834298906
11,8,278.398046090531
11,9,225.379293670671
11,10,205.359654684074
11,11,201.989835262203
11,12,206.070015569489
11,13,240.474809548706
11,14,272.661387806572
11,15,280.875958913161
11,16,283.124389009514
11,17,277.875995116944
11,18,278.409665238485
11,19,265.953074523798
11,20,231.735715879849
12,1,228.982036773072
12,2,225.210219404571
12,3,196.929737525336
12,4,175.467417845064
12,5,179.768143863393
12,6,202.212238106233
12,7,230.256436735793
12,8,214.844694407968
12,9,206.956052021988
12,10,208.440201734945
12,11,195.919949758066
12,12,211.426238735774
12,13,244.936406589709
12,14,277.100140776004
12,15,287.488549675286
12,16,255.349885961576
12,17,235.139726538222
12,18,217.795595694176
12,19,207.218513903352
12,20,187.55655640459
13,1,218.303443985514
13,2,206.437498183316
13,3,183.876975021099
13,4,166.080863594701
13,5,168.472639008886
13,6,185.455343058797
13,7,194.53573295914
13,8,199.907479911916
13,9,201.013606041488
13,10,208.459569411213
13,11,207.824038506596
13,12,209.04476579821
13,13,238.586000166809
13,14,284.149004563728
13,15,298.044499063819
13,16,306.306620184891
13,17,252.4072567996
13,18,229.029225154773
13,19,220.723238461298
