"x","y","z"
1,1,429.050244887799
1,2,483.697175355319
1,3,512.063689626005
1,4,602.860221193628
1,5,694.407654144119
1,6,454.687388592751
1,7,410.573138080275
1,8,361.418490523105
1,9,444.710272676016
1,10,626.933416781647
1,11,750.263840171996
1,12,1047.68313147761
1,13,817.308493342059
1,14,674.644381043188
1,15,574.494431500179
1,16,514.212265554378
1,17,393.99323427209
1,18,426.803885521546
1,19,526.718824976693
1,20,362.36792971879
2,1,506.437244124421
2,2,583.558941143631
2,3,627.248269082998
2,4,586.293816378887
2,5,509.358826028238
2,6,456.758984554059
2,7,393.126709601779
2,8,415.82391828433
2,9,486.524239752827
2,10,625.962110281142
2,11,901.790993340052
2,12,1287.30156691916
2,13,1731.57447732751
2,14,1876.98252181294
2,15,1664.81655509768
2,16,1118.68727620499
2,17,690.184595231869
2,18,490.955861360811
2,19,438.283784136036
2,20,413.906125534894
3,1,830.158007098111
3,2,831.539232469396
3,3,817.778970801429
3,4,638.772746650303
3,5,522.731709758054
3,6,468.399051499533
3,7,454.411771924065
3,8,455.107990767501
3,9,540.026564674158
3,10,655.121313133497
3,11,1225.65187195164
3,12,3916.22399088359
3,13,7088.01753818104
3,14,9374.10434927414
3,15,7267.27385155569
3,16,4052.07641292973
3,17,1255.33823942285
3,18,590.082755562577
3,19,450.281155662528
3,20,375.211926938353
4,1,956.572601877562
4,2,1220.32217910497
4,3,913.138593492642
4,4,702.100184753927
4,5,611.846801584822
4,6,616.189171286454
4,7,532.717220938544
4,8,509.452133459811
4,9,523.115522164753
4,10,686.673657308797
4,11,1651.77779133243
4,12,6985.80212773075
4,13,36031.4411547181
4,14,41702.8590843341
4,15,36361.4140400483
4,16,7554.00809018064
4,17,1843.29054248441
4,18,678.069108705323
4,19,452.337135910442
4,20,385.304545090396
5,1,1043.89966260887
5,2,896.28502206534
5,3,829.63555069241
5,4,714.271216421098
5,5,640.128607618465
5,6,645.619854943069
5,7,677.824305966873
5,8,546.561737760692
5,9,518.412853213874
5,10,705.833381713706
5,11,1837.46972935046
5,12,9093.72894519081
5,13,41268.6077931118
5,14,259893.761942876
5,15,40404.765881509
5,16,9494.61291312411
5,17,2082.41367385887
5,18,721.859663613602
5,19,490.191382546937
5,20,423.01608409084
6,1,691.221904224441
6,2,733.61820987777
6,3,645.448853676097
6,4,588.036047940786
6,5,576.838974201121
6,6,695.659301029676
6,7,619.747869040154
6,8,531.154177228877
6,9,558.350444395749
6,10,697.663664745496
6,11,1626.97086642906
6,12,6896.63696809349
6,13,34604.047130949
6,14,40305.2715406083
6,15,34741.8593362827
6,16,7162.51960649815
6,17,1779.06620053482
6,18,694.621371982978
6,19,521.732082072169
6,20,529.684749639397
7,1,645.644174104493
7,2,649.682228531296
7,3,577.581831404761
7,4,476.797098857837
7,5,493.509188184678
7,6,514.277898727611
7,7,504.888789671666
7,8,502.657204525429
7,9,535.77802939904
7,10,680.263243383918
7,11,1171.30532405002
7,12,3831.28642744219
7,13,7087.65988509961
7,14,9356.44400289972
7,15,7342.75944396549
7,16,4019.01328661399
7,17,1215.03742384059
7,18,614.129002382942
7,19,643.083814639599
7,20,698.836811302538
8,1,890.44108745592
8,2,646.434547459137
8,3,474.921414102424
8,4,414.898896387204
8,5,412.308057864647
8,6,387.523433439594
8,7,431.772122117057
8,8,500.231930032901
8,9,600.127059014494
8,10,708.066709357303
8,11,917.066092714838
8,12,1344.09000753494
8,13,1863.49636892507
8,14,2099.28559268766
8,15,1919.88456494464
8,16,1356.4537899912
8,17,831.86202107001
8,18,571.593511764847
8,19,684.859341895425
8,20,1192.49389155651
9,1,896.154479418129
9,2,594.495666528273
9,3,420.944724293093
9,4,356.444314677215
9,5,330.881448480713
9,6,329.792887986017
9,7,359.915121672533
9,8,522.194887773716
9,9,900.414947923862
9,10,1147.3076048211
9,11,1366.18678153279
9,12,1270.58716068739
9,13,1075.26584414299
9,14,885.291390232905
9,15,843.440942637522
9,16,882.797820692532
9,17,666.14611516929
9,18,567.778206989909
9,19,690.436815796054
9,20,775.925350017341
10,1,592.276307132187
10,2,543.556207528868
10,3,423.557885221624
10,4,358.390653760564
10,5,317.345382810986
10,6,299.169251709106
10,7,335.089625377275
10,8,533.266783690299
10,9,1095.24876928492
10,10,2627.57888991549
10,11,3086.10498112331
10,12,2716.95348728208
10,13,1247.74045912653
10,14,791.811068381092
10,15,734.92975338232
10,16,710.451232071147
10,17,623.4957763614
10,18,588.957231366501
10,19,597.656130323112
10,20,558.415383806618
11,1,594.304370984895
11,2,593.705015784423
11,3,523.021818413222
11,4,422.941771306947
11,5,343.378522082663
11,6,318.3773924434
11,7,343.605758009775
11,8,531.586024605522
11,9,1260.18623159226
11,10,3018.24269384212
11,11,7221.18452881432
11,12,3232.37859298224
11,13,1507.13286864581
11,14,875.634432785263
11,15,803.558277847582
11,16,679.089287755682
11,17,594.327184507621
11,18,565.664527684806
11,19,566.823483188318
11,20,560.37307793638
12,1,714.762715946673
12,2,658.580200323806
12,3,683.693681447364
12,4,471.522313393281
12,5,373.348437350359
12,6,344.918163481789
12,7,367.872114867046
12,8,536.955196713362
12,9,1085.50790575701
12,10,2615.25280573532
