"X","Y","Z"
0,0,94.6749480474369
0,1,90.3482690202531
0,2,87.8756400911549
0,3,87.5136478172489
0,4,89.5797691157396
0,5,94.4593916309614
0,6,102.607417350808
0,7,114.540516984556
0,8,130.814538555616
0,9,151.980060296022
0,10,178.508286079404
0,11,210.680654186664
0,12,248.440577198514
0,13,291.21692594116
0,14,337.7476396453
0,15,385.956170303653
0,16,432.954346662604
0,17,475.245057795214
0,18,509.15675935151
1,0,104.374649586037
1,1,99.8601341489835
1,2,97.5723955813852
1,3,97.8471393398376
1,4,101.109829893705
1,5,107.89007175814
1,6,118.830845405946
1,7,134.687419267086
1,8,156.308034995319
1,9,184.585223185825
1,10,220.363548404456
1,11,264.288387276355
1,12,316.58422631506
1,13,376.764912252013
1,14,443.307927778116
1,15,513.372083633696
1,16,582.692515116801
1,17,645.815423871249
1,18,696.784342346759
2,0,114.666005452175
2,1,109.966424591275
2,2,107.91895615829
2,3,108.953823016524
2,4,113.629086377521
2,5,122.656184606974
2,6,136.922036967877
2,7,157.501514746829
2,8,185.649868159449
2,9,222.758914531878
2,10,270.253792660539
2,11,329.400559735928
2,12,400.993234344075
2,13,484.900869915049
2,14,579.494788470625
2,15,681.0578812365
2,16,783.400778726766
2,17,878.024505269608
2,18,955.152642895449
3,0,125.472193112068
3,1,120.583678007618
3,2,118.821465463165
3,3,120.725313100451
3,4,127.010942794578
3,5,138.611430319853
3,6,156.719084361155
3,7,182.821347969432
3,8,218.718461881323
3,9,266.501685073047
3,10,328.458120078188
3,11,406.852223923518
3,12,503.519012617179
3,13,619.201748933656
3,14,752.603397937415
3,15,899.238716553669
3,16,1050.41309624646
3,17,1192.98283559221
3,18,1310.73659058694
4,0,136.690674288089
4,1,131.598725037462
4,2,130.148211786106
4,3,133.001283704308
4,4,141.054177917366
4,5,155.499698717571
4,6,177.897080391909
4,7,210.243936655635
4,8,255.038043862418
4,9,315.304711648321
4,10,394.545995471874
4,11,496.53864655822
4,12,624.868766591708
4,13,782.052431197294
4,14,968.087414479994
4,15,1178.39483090564
4,16,1401.48604077774
4,17,1617.4492346411
4,18,1799.23177395739
5,0,148.19396807542
5,1,142.869827721897
5,2,141.730640979384
5,3,145.569510951016
5,4,155.480417979579
5,5,172.946886718871
5,6,199.948367161
5,7,239.082326273651
5,8,293.693074775436
5,9,367.984762436953
5,10,467.070966822109
5,11,596.8697172882
5,12,763.68190583636
5,13,973.18836905843
5,14,1228.48731880537
5,15,1526.77300377964
5,16,1854.62987446799
5,17,2183.264943754
5,18,2467.68484326321
6,0,159.832705430258
6,1,154.23083405955
6,2,153.368608181504
6,3,158.172141536454
6,4,169.940992993137
6,5,190.466983537329
6,6,222.184338314378
6,7,268.354932074423
6,8,333.287274490508
6,9,422.575741912176
6,10,543.320754021908
6,11,704.238879034757
6,12,915.472979318053
6,13,1187.73351055815
6,14,1530.10689694763
6,15,1945.47779505508
6,16,2422.35077880099
6,17,2923.19588660155
6,18,3375.16617493997
7,0,171.441274950068
7,1,165.498691917912
7,2,164.840391612429
7,3,170.519170726284
7,4,184.035175164096
7,5,207.486553641229
7,6,243.767283374503
7,7,296.823898200431
7,8,371.981618957384
7,9,476.343750933911
7,10,619.249327421452
7,11,812.728455168659
7,12,1071.79255738534
7,13,1414.17542610246
7,14,1858.67684362921
7,15,2420.33888293183
7,16,3099.11525622757
7,17,3857.36181812754
7,18,4586.9965667145
8,0,182.846125048707
8,1,176.484257674968
8,2,175.917315539584
8,3,182.308989485197
8,4,197.339938409262
8,5,223.388714010644
8,6,263.775978659445
8,7,323.092669023306
8,8,407.636879203671
8,9,525.986380216602
8,10,689.729206464669
8,11,914.352469207802
8,12,1220.22275369356
8,13,1633.41462274484
8,14,2185.69107040488
8,15,2911.77740751044
8,16,3839.06202427503
8,17,4957.44680737985
8,18,6144.67334743037
9,0,193.876495311793
9,1,187.005859109827
9,2,186.38202153025
9,3,193.254445898434
9,4,209.448853823481
9,5,237.573151263416
9,6,281.300503008253
9,7,345.758203073464
9,8,438.06036956389
9,9,568.033857887724
9,10,749.198961659209
9,11,1000.07533846983
9,12,1345.87714564301
9,13,1820.60565407322
9,14,2469.34317308033
9,15,3349.88215249571
9,16,4530.54579943213
9,17,6072.37103217761
9,18,7945.53316756634
10,0,204.377062502921
10,1,196.904632358551
10,2,196.048682741658
10,3,203.111522581196
10,4,220.015214670425
10,5,249.523867365431
10,6,295.552213618237
10,7,363.594212369272
10,8,461.31812522212
10,9,599.391771806932
10,10,792.624650203446
10,11,1061.5433357194
10,12,1434.55295121072
10,13,1950.87680015593
10,14,2664.49370278887
10,15,3649.25785742609
10,16,5005.10057167418
10,17,6863.74477469625
10,18,9382.26936986301
11,0,214.221762423068
11,1,206.060363337069
11,2,204.782997606004
11,3,211.70689983537
11,4,228.792855264433
11,5,258.873004109066
11,6,305.967743316604
11,7,375.726369176569
11,8,476.039045771027
11,9,617.884975352399
11,10,816.504004057847
11,11,1093.00596260971
11,12,1476.5598310154
11,13,2007.31812730651
11,14,2740.18014362523
11,15,3749.20803240114
11,16,5131.31886724766
11,17,7002.64771734517
11,18,9451.40219302807
12,0,223.327934124655
12,1,214.406509845975
12,2,212.519792396527
12,3,218.960695029009
12,4,235.668123860073
12,5,265.448905104686
12,6,312.285006950023
12,7,381.757385840738
12,8,481.627933465646
12,9,622.632837618173
12,10,819.55207877879
12,11,1092.62405759138
12,12,1469.35255528498
12,13,1986.65299632285
12,14,2692.95772894205
12,15,3648.90128871431
12,16,4922.11500046281
12,17,6561.72078392518
12,18,8507.51946569539
13,0,231.669948837521
13,1,221.94328407701
13,2,219.276540600484
13,3,224.901612917895
13,4,240.67826737571
13,5,269.300003200763
13,6,314.575840697601
13,7,381.812959339327
13,8,478.330683354862
13,9,614.139993027119
13,10,802.819409180471
13,11,1062.59545108935
13,12,1417.56487975927
13,13,1898.80836411806
13,14,2544.68101732522
13,15,3398.45983776838
13,16,4499.05617994658
13,17,5856.03597072843
13,18,7399.04012860309
14,0,239.291623547244
14,1,228.748086447837
14,2,225.161949043534
14,3,229.673349966827
14,4,244.014547199225
14,5,270.692049395099
14,6,313.231672219397
14,7,376.503679752499
14,8,467.146018193573
14,9,594.09976025372
14,10,769.25580442628
14,11,1008.17232797327
14,12,1330.73196297691
14,13,1761.41593236449
14,14,2328.49521598149
14,15,3060.78299843121
14,16,3979.78167376377
14,17,5085.40812698467
14,18,6339.9128260871
15,0,246.316947370151
15,1,234.983098177478
15,2,230.379734822549
15,3,233.532879590582
15,4,246.011700785482
15,5,270.082410459459
15,6,308.910613315618
15,7,366.821801268297
15,8,449.626859358023
15,9,565.010602588926
15,10,722.960634512209
15,11,936.170920874243
15,12,1220.27290669204
15,13,1593.60513141709
15,14,2076.01815513355
15,15,2685.98317604533
15,16,3435.32619313481
15,17,4322.04116119128
15,18,5324.69956150659
16,0,252.958929598987
16,1,240.900347447572
16,2,235.228575518804
16,3,236.842698835336
16,4,247.127861361547
16,5,268.079510611819
16,6,302.461991402
16,7,354.005123984021
16,8,427.63741039235
16,9,529.743645132902
16,10,668.413712498076
16,11,853.612106029477
16,12,1097.13717118574
16,13,1412.15230360089
16,14,1811.9742698951
16,15,2307.7621777337
16,16,2904.90922266681
16,17,3598.41430267358
16,18,4367.73522519024
17,0,259.526681370761
17,1,246.844976603367
17,2,240.099785287626
17,3,240.059918526949
17,4,247.920161743236
17,5,265.396926621463
17,6,294.845757504267
17,7,339.400141464665
17,8,403.125286952505
17,9,491.169835745605
17,10,609.880292537419
17,11,766.81445479448
17,12,970.549742780191
17,13,1230.13364861786
17,14,1553.98199662879
17,15,1948.02843246089
17,16,2412.99408998034
17,17,2940.70713826686
17,18,3509.10750747798
18,0,266.431152803822
18,1,253.257719809058
18,2,245.474498766589
18,3,243.725175267616
18,4,249.020988812444
18,5,262.810454639769
18,6,287.060652033966
18,7,324.347196357422
18,8,377.944384832714
18,9,451.897667124564
18,10,551.0462588368
18,11,680.943499934238
18,12,847.597117547388
18,13,1056.9249914655
18,14,1313.80357155653
18,15,1620.58769076873
18,16,1975.00333009056
18,17,2367.32914715362
18,18,2776.77374628933
