"x","y","z"
1,1,71.7827257293271
1,2,134.447333015892
1,3,227.023575518422
1,4,187.936125429862
1,5,169.530069717006
1,6,114.509832061948
1,7,114.99247896059
1,8,191.004361504197
1,9,350.004172901351
1,10,269.998725863047
1,11,195.61036224996
1,12,141.746163014502
1,13,158.286318751383
1,14,234.969921148146
1,15,255.970204243333
1,16,306.98683802326
1,17,335.778577251092
1,18,310.289253516963
1,19,269.998555778581
1,20,235.691407737578
2,1,75.9911648807084
2,2,115.463917230165
2,3,161.084277491832
2,4,181.743888420929
2,5,146.67379372771
2,6,121.912761892811
2,7,131.809662654031
2,8,210.041132031847
2,9,285.977937692794
2,10,328.555544367284
2,11,239.817978856768
2,12,185.406949240214
2,13,211.702656437404
2,14,397.595780528002
2,15,767.034066140197
2,16,1197.42424787891
2,17,1373.52688527065
2,18,1210.88215564246
2,19,782.267453701622
2,20,457.941676689302
3,1,65.8973567340378
3,2,92.3806801024253
3,3,125.550389408561
3,4,140.689036878736
3,5,139.549183708442
3,6,130.833139548774
3,7,152.736267188828
3,8,220.682579954219
3,9,321.809615700161
3,10,356.712540010277
3,11,314.888152625094
3,12,256.487227789342
3,13,291.422436299701
3,14,779.40190348222
3,15,2750.20027481376
3,16,5071.85841465957
3,17,6614.62115363398
3,18,5096.06671944129
3,19,2806.59938930135
3,20,914.406063154215
4,1,61.5562941846858
4,2,81.0710065735422
4,3,111.570278624305
4,4,129.760727574312
4,5,141.92702262253
4,6,148.151124224424
4,7,169.956292581301
4,8,230.292135748972
4,9,330.1650534824
4,10,362.197307736903
4,11,398.920652188842
4,12,278.96311188678
4,13,365.099132999455
4,14,1236.52032106027
4,15,5107.64993634427
4,16,20611.3208062624
4,17,24163.5516896405
4,18,20591.1028673348
4,19,5122.66315321342
4,20,1478.80391710542
5,1,66.5671230649302
5,2,84.2613493684476
5,3,113.999728670285
5,4,143.648213342757
5,5,142.334562600729
5,6,160.078984814461
5,7,172.316995464094
5,8,215.980790674402
5,9,260.838024296928
5,10,315.554299078331
5,11,278.260805016685
5,12,249.693427022713
5,13,370.559559577298
5,14,1421.58335623179
5,15,6648.82057497012
5,16,24141.7178219109
5,17,105542.563856177
5,18,23966.0108495828
5,19,6664.03929515828
5,20,1713.92310703025
6,1,78.9398233956059
6,2,100.856091218002
6,3,127.053062951271
6,4,135.306953547369
6,5,143.124722895941
6,6,144.765771317211
6,7,167.850702769767
6,8,190.080412116481
6,9,198.892698607004
6,10,195.996402813441
6,11,180.376781531007
6,12,165.854070765607
6,13,311.731751303106
6,14,1218.45448463356
6,15,5102.64163907097
6,16,20467.1227045603
6,17,23973.719697226
6,18,20397.9880955858
6,19,5136.94693731219
6,20,1472.61111868222
7,1,93.3420505087704
7,2,132.197765719176
7,3,157.208220778193
7,4,155.625033925507
7,5,137.56533835775
7,6,147.18624479383
7,7,161.744456122482
7,8,159.880115404296
7,9,146.075170884492
7,10,128.958969830583
7,11,112.771673945245
7,12,115.846889650121
7,13,219.5224756794
7,14,742.070142600648
7,15,2741.26080074031
7,16,5066.24092763313
7,17,6613.50904275932
7,18,5107.85194125516
7,19,2785.80163139283
7,20,909.398611070186
8,1,118.00000863274
8,2,147.407771061951
8,3,202.048545329655
8,4,170.326277300411
8,5,150.599570596487
8,6,152.742668590002
8,7,169.857505650524
8,8,148.715933105216
8,9,123.030505981646
8,10,100.845459772269
8,11,89.9519450629574
8,12,90.0821332649843
8,13,140.87338483332
8,14,346.997889990016
8,15,734.883031375701
8,16,1212.6002723444
8,17,1420.55555051076
8,18,1256.4184098011
8,19,805.282223158265
8,20,451.590215254188
9,1,117.22724132548
9,2,153.843182631601
9,3,172.956480384277
9,4,175.065106665917
9,5,166.436389164674
9,6,152.422995037561
9,7,152.494491443341
9,8,153.312360829828
9,9,119.893325398798
9,10,94.9092766247275
9,11,83.4299421318842
9,12,83.5412726392854
9,13,95.7749839785929
9,14,132.985118059558
9,15,203.428562727167
9,16,285.122059969841
9,17,335.698771153237
9,18,332.196419033813
9,19,284.845899564726
9,20,231.474603472348
10,1,115.752622407136
10,2,149.550519271002
10,3,170.807944790695
10,4,173.003483235392
10,5,165.905138765909
10,6,148.078898892487
10,7,139.302793505634
10,8,134.331546006339
10,9,119.185670262408
10,10,95.7517888748786
10,11,84.1030454092029
10,12,87.5164215262643
10,13,79.4902113703539
10,14,78.6674917892991
10,15,86.5508338777809
10,16,105.83045757937
10,17,128.567226502355
10,18,146.270474990782
10,19,168.143131387517
10,20,223.689501613589
11,1,116.606279823502
11,2,132.65065945847
11,3,166.715222154594
11,4,191.895441329019
11,5,165.155138338956
11,6,144.954157667134
11,7,140.224670170187
11,8,122.303807013577
11,9,106.962933473931
11,10,91.4982904203337
11,11,85.6139953848531
11,12,83.9713776390589
11,13,84.1473949864564
11,14,73.1465714530407
11,15,68.8419394939736
11,16,75.4181438086406
11,17,93.9503318837499
11,18,111.846705472846
11,19,132.815944972373
11,20,136.397991974023
12,1,94.0914696237192
12,2,119.547109690106
12,3,154.067757881796
12,4,179.858717549045
12,5,157.615654838328
12,6,137.524136374122
