"x","y","z"
1,1,114.853380947407
1,2,82.5550018920018
1,3,101.040158241427
1,4,394.570314202552
1,5,112.368298469977
1,6,118.44217234923
1,7,266.570439805442
1,8,2163.89792232104
1,9,54667.5417067472
1,10,1995.41764764839
1,11,126.736233433165
1,12,91.6901455547389
1,13,114.669405142015
1,14,149.203488321179
1,15,92.8396746915197
1,16,103.127184566549
1,17,188.932473699417
1,18,80.3900160496618
1,19,112.768752137381
1,20,135.904554277882
2,1,419.289260375333
2,2,124.85563393007
2,3,236.300323455102
2,4,176.470143960575
2,5,575.090024040841
2,6,101.352229003968
2,7,200.404281811637
2,8,2241.49816548139
2,9,1965.57084213905
2,10,1879.66055992618
2,11,172.64185700583
2,12,105.027094310366
2,13,245.448912320899
2,14,347.785827285547
2,15,478.949255191854
2,16,393.625758360056
2,17,804.219051077091
2,18,205.193934595643
2,19,105.866272270313
2,20,169.88564271005
3,1,282.228469600349
3,2,698.045554077583
3,3,187.530633173894
3,4,174.961136244305
3,5,109.931800331791
3,6,116.254715595429
3,7,166.867257495698
3,8,226.782178826453
3,9,833.344511564875
3,10,368.965578078308
3,11,140.421523080607
3,12,81.7709559559642
3,13,334.404976139274
3,14,9055.96306980899
3,15,9377.3867876904
3,16,9105.1195644719
3,17,490.66415224106
3,18,135.635216417265
3,19,88.7011299890976
3,20,199.134314742985
4,1,211.460670552763
4,2,120.492234132819
4,3,224.929514018565
4,4,124.505014846173
4,5,272.151406643322
4,6,307.963498298297
4,7,150.667928387104
4,8,243.803795496495
4,9,172.741685448669
4,10,139.946297139216
4,11,161.038051315671
4,12,299.956633495182
4,13,599.227352859992
4,14,9282.31599332731
4,15,430393.014707037
4,16,9359.04383369835
4,17,538.879777549502
4,18,123.085326997672
4,19,377.178327268266
4,20,589.108033541108
5,1,209.339472581231
5,2,104.260109349701
5,3,80.3571248199242
5,4,224.705139485909
5,5,236.711715492187
5,6,125.597687013927
5,7,433.016667494886
5,8,244.129185143565
5,9,210.866563593214
5,10,241.325433895756
5,11,164.600278275674
5,12,177.924201657246
5,13,1935.41868043682
5,14,9035.89983277954
5,15,9259.13992510268
5,16,9215.44800328179
5,17,360.796221613433
5,18,196.313041357003
5,19,148.839608391167
5,20,433.402992763758
6,1,96.8837218206924
6,2,79.3669438030146
6,3,103.976981369447
6,4,129.372309546416
6,5,88.2423868470584
6,6,184.243401454157
6,7,218.864848602112
6,8,188.877946092926
6,9,2064.28324953461
6,10,245.228235940982
6,11,193.417321132117
6,12,263.376242005952
6,13,432.460314289307
6,14,404.053503388748
6,15,485.747829545342
6,16,504.580235326388
6,17,266.59930442417
6,18,124.617641954334
6,19,73.0554842154464
6,20,138.231560553422
7,1,132.462441736611
7,2,459.893843640032
7,3,156.016631558335
7,4,84.0784215852632
7,5,366.49278378817
7,6,159.155691648535
7,7,124.206830294853
7,8,248.546913110289
7,9,448.735652245881
7,10,546.456494378817
7,11,132.569860201811
7,12,112.295175182454
7,13,209.924599749053
7,14,268.022873258065
7,15,128.909952845393
7,16,530.187960058704
7,17,159.198638297855
