"x","y","z"
0,0,72.5675487961534
0,1,72.4414312608611
0,2,78.1829443056526
0,3,87.4189514619945
0,4,94.2693440128733
0,5,92.6116176730858
0,6,94.1686367323227
0,7,94.5842601926759
0,8,98.6117687161599
0,9,108.478703373198
0,10,180.214119112732
0,11,519.993376735422
0,12,2053.15668911715
0,13,8376.65245393824
0,14,34399.0487103823
0,15,7816.91645131725
0,16,1844.32796744578
0,17,423.29289200129
0,18,128.682317773503
0,19,67.1929895898114
1,0,71.6409158279132
1,1,73.3674740746792
1,2,76.7964021112127
1,3,82.2442351777139
1,4,86.8417646197449
1,5,90.3319071965896
1,6,92.9262505296168
1,7,95.6654297506962
1,8,99.480763850319
1,9,118.7611700698
1,10,198.001108812438
1,11,525.716654036202
1,12,1794.72241938972
1,13,6104.31673903554
1,14,7132.08467761191
1,15,5928.76179545879
1,16,1623.79469002801
1,17,435.791204218067
1,18,144.001640829728
1,19,81.9634510805878
2,0,76.4610772668256
2,1,77.8264359809083
2,2,78.4874658730776
2,3,79.4903352023682
2,4,83.1718788751852
2,5,87.6845402903654
2,6,94.2236455878615
2,7,100.466997213255
2,8,109.843224422752
2,9,133.607197771985
2,10,199.80564765559
2,11,405.883026842267
2,12,1017.40090323987
2,13,1708.0223336607
2,14,2112.31404869574
2,15,1630.98538369273
2,16,914.658430836075
2,17,322.745635118901
2,18,146.541656808547
2,19,102.121807107837
3,0,95.720503841548
3,1,92.4978369224102
3,2,87.1276740194476
3,3,84.5371276907233
3,4,85.7468218742152
3,5,90.3899936828128
3,6,97.2932291317255
3,7,112.017952654219
3,8,133.709541923553
3,9,168.384245652145
3,10,220.034367456629
3,11,305.687446245001
3,12,428.16259451848
3,13,559.027155171449
3,14,586.521803657631
3,15,499.567508091948
3,16,337.902817007003
3,17,216.460965074201
3,18,161.942337822442
3,19,148.385075192618
4,0,128.221771105133
4,1,117.690388729712
4,2,99.8409247498051
4,3,94.4109788998538
4,4,94.2153874970185
4,5,97.2355520239374
4,6,105.846674372144
4,7,127.363887768271
4,8,174.176914466221
4,9,234.695298569538
4,10,288.459711417656
4,11,303.715388498663
4,12,293.305626893989
4,13,268.44718889687
4,14,242.000557352517
4,15,203.57710249952
4,16,173.890971358841
4,17,172.604426213118
4,18,214.625245825443
4,19,240.927451052779
5,0,165.392415525831
5,1,127.628600309142
5,2,109.140693237548
5,3,102.996097413423
5,4,104.371886695832
5,5,108.843739064691
5,6,119.120975142517
5,7,147.632937295823
5,8,214.430130570434
5,9,330.697839523095
5,10,393.313098817376
5,11,381.655205193876
5,12,300.36529228121
5,13,229.872458058453
5,14,179.006417551367
5,15,147.574301212701
5,16,145.835928531919
5,17,179.182915385661
5,18,243.640145832755
5,19,373.061561845662
6,0,127.654023488751
6,1,121.005727900579
6,2,109.47744878458
6,3,109.559553426218
6,4,116.191787220448
6,5,125.892690278185
6,6,138.589059112064
6,7,166.711098058787
6,8,239.269961990503
6,9,358.280365725077
6,10,488.329497139514
6,11,403.484624738764
6,12,307.43485009653
6,13,238.950371894706
6,14,175.399599744333
6,15,149.356317367037
6,16,155.967962098093
6,17,188.190432192865
6,18,241.170651583466
6,19,267.662507068474
7,0,101.167960880812
7,1,101.321671538216
7,2,103.865045571851
7,3,114.830963259641
7,4,133.979259629024
7,5,153.620953872911
7,6,169.307086509416
7,7,187.664387695048
7,8,234.276555098716
7,9,320.347726414199
7,10,361.259841261646
7,11,338.294521411192
7,12,264.732101726537
7,13,204.269557698894
7,14,168.833513962694
7,15,153.135028152985
7,16,165.799337369496
7,17,192.088768993286
7,18,203.232934974603
7,19,196.444110112999
8,0,85.8407397882563
8,1,88.2584667862801
8,2,96.8362508342798
8,3,118.241864614133
8,4,155.552047517826
8,5,189.450651390633
8,6,205.164245847934
8,7,208.065017977656
8,8,218.328270446693
8,9,231.723555878247
8,10,238.109864029408
8,11,222.40679331074
8,12,194.065482251724
8,13,161.630468921439
8,14,142.852024075396
8,15,142.112008741979
8,16,156.890225839839
8,17,174.301681710832
8,18,168.342806945606
8,19,156.598807242537
9,0,78.4407774645435
9,1,80.0115873016353
