"x","y","z"
0,0,666.450109209572
0,1,790.612596062316
0,2,917.052746691399
0,3,1030.75073891867
0,4,928.076264595719
0,5,854.731818384036
0,6,2234.39810701039
0,7,1358.65943363236
0,8,1111.66944300186
0,9,1234.21892570007
0,10,1722.03270246909
0,11,1407.97866622764
0,12,1621.45664622589
0,13,1227.65563842538
0,14,4117.3580577528
0,15,33700.5280491063
0,16,5867.38778554345
0,17,1692.14131666651
0,18,1563.93288208982
0,19,2443.76020091736
1,0,1116.52981942055
1,1,952.759591658479
1,2,1169.59655853061
1,3,858.309289165327
1,4,915.925121843524
1,5,1053.53197805209
1,6,1380.9521303895
1,7,1062.56441585362
1,8,919.512422748739
1,9,1205.5706160638
1,10,1214.81931327274
1,11,1847.64144932241
1,12,1046.57823994875
1,13,1132.52684191015
1,14,2928.25200952816
1,15,6101.15119359717
1,16,4083.81202234043
1,17,1805.30414021272
1,18,1684.57545890627
1,19,1898.06885024696
2,0,1003.68412293056
2,1,1275.63939355953
2,2,1142.71532189562
2,3,1152.18030072595
2,4,1023.88859002869
2,5,1217.8299436186
2,6,1190.4014072261
2,7,867.841108940191
2,8,876.704646447614
2,9,961.850939296712
2,10,1322.59118085065
2,11,1285.27142281438
2,12,1274.78597682824
2,13,1269.43196581816
2,14,1844.69142609254
2,15,1857.88023809031
2,16,2383.50334968878
2,17,1592.03244098527
2,18,1360.40915084916
2,19,4022.38998403977
3,0,1609.1915335457
3,1,1386.09705657271
3,2,1425.98051505516
3,3,1278.51861992338
3,4,1526.78695324168
3,5,1302.73171613291
3,6,962.604932436431
3,7,939.871168260248
3,8,956.053160164418
3,9,1493.25732523544
3,10,1542.42515425419
3,11,1494.31620865526
3,12,1253.11415944235
3,13,2067.60370601266
3,14,2139.8128185834
3,15,1531.66069229431
3,16,1538.70252381191
3,17,1498.36432535532
3,18,1583.56576342158
3,19,1170.12580551822
4,0,1568.24626672485
4,1,1605.31921727293
4,2,1362.19606947525
4,3,1306.04299494908
4,4,1304.55300251705
4,5,1002.51263540215
4,6,1088.71103880486
4,7,1423.36833156686
4,8,1316.821383393
4,9,1677.12477160055
4,10,2060.28139757491
4,11,1322.88752126649
4,12,2096.59016135651
4,13,1838.28986412848
4,14,2395.31005161927
4,15,1503.99678454252
4,16,1283.44731294851
4,17,1540.61892508039
4,18,1804.73512849056
4,19,1889.44351469096
5,0,2886.31223693887
5,1,2000.94406025052
5,2,1405.82214213136
5,3,1219.67304031753
5,4,1167.649903447
5,5,1019.77444011175
5,6,1184.13449587601
5,7,1640.17987596474
5,8,1945.48221641872
5,9,2426.9500392845
5,10,1275.17302199224
5,11,1256.07629108357
5,12,1017.6271560818
5,13,1224.47444806527
5,14,1161.94197352675
5,15,1187.54941106751
5,16,1225.41073640529
5,17,1665.62039712155
5,18,2403.43651443891
5,19,1851.2601771347
6,0,3787.04401564932
6,1,2566.68365983157
6,2,1802.38508953306
6,3,1785.88156269852
6,4,1287.73687924922
6,5,1335.44876157015
6,6,2339.36548539321
6,7,1610.49867002681
6,8,1534.65610582012
6,9,1089.59977005203
6,10,966.939855215244
6,11,763.467534040237
6,12,846.283675512413
6,13,915.490991248347
6,14,942.597281400984
6,15,966.398736781063
6,16,1282.59104815277
6,17,2071.01942004393
6,18,1730.69752246761
6,19,1076.78116086651
7,0,2125.62410036537
7,1,2500.5498012232
7,2,2419.40100059326
7,3,2454.0829871056
7,4,1665.51307967164
7,5,1680.25496277482
7,6,2143.62534903494
