"x","y","z"
1,1,798.477701837539
1,2,797.454145678271
1,3,815.534458289068
1,4,813.637065035239
1,5,725.120578093542
1,6,685.177377705067
1,7,756.849352525329
1,8,1001.9326550678
1,9,1641.61069822466
1,10,3821.3363350338
1,11,13226.9022088595
1,12,46722.3728635555
1,13,152267.936716543
1,14,44203.8407967077
1,15,12916.0408667436
1,16,3942.83192908345
1,17,1871.89741120021
1,18,1532.87304832862
1,19,1173.86616087628
1,20,942.833094036879
2,1,680.187635228491
2,2,691.4880073215
2,3,716.856122873333
2,4,717.793016662893
2,5,696.536937812099
2,6,689.842491182239
2,7,748.900270059668
2,8,939.511731540174
2,9,1495.49410536149
2,10,3648.90603211665
2,11,11232.8709216671
2,12,32484.2707482363
2,13,38969.8617554559
2,14,31999.4623191373
2,15,11033.3096865007
2,16,3804.612703904
2,17,1776.3369323769
2,18,1257.142156143
2,19,1061.22179010863
2,20,923.90462901376
3,1,543.658820595061
3,2,571.616561999635
3,3,609.160243388713
3,4,644.194111723796
3,5,670.183339912043
3,6,696.104104324445
3,7,731.654320671371
3,8,835.358538911056
3,9,1223.44348353936
3,10,2575.36348285146
3,11,6290.58866750113
3,12,10707.1338748885
3,13,13262.1564757135
3,14,10746.1193421196
3,15,6423.12544953341
3,16,2780.68648900932
3,17,1452.14019356183
3,18,1041.38406897279
3,19,896.320528990221
3,20,846.814001034177
4,1,447.953672414451
4,2,482.376715176208
4,3,533.130614267356
4,4,595.651134999299
4,5,661.634940517735
4,6,709.388985063018
4,7,729.265277616967
4,8,771.251859350458
4,9,961.476362503742
4,10,1558.03906992911
4,11,2614.18425228361
4,12,3805.33391431564
4,13,4348.94055202478
4,14,3906.37540160172
4,15,2791.80187328546
4,16,1747.27787950273
4,17,1110.35949179909
4,18,861.985003690601
4,19,777.276647110345
4,20,731.216755360079
5,1,413.502443107802
5,2,444.349801236811
5,3,499.536802349805
5,4,582.670870805121
5,5,674.848082222023
5,6,742.69385978046
5,7,760.53666113571
5,8,761.928686796776
5,9,830.678331247194
5,10,1044.97458428571
5,11,1410.4613423936
5,12,1794.35390023393
5,13,1987.35046843879
5,14,1864.72570007652
5,15,1516.36311687299
5,16,1128.72858333853
5,17,870.227638607954
5,18,756.995452397746
5,19,743.299220295264
5,20,727.461947698189
6,1,431.624832431186
6,2,454.102703175362
6,3,501.403402643462
6,4,589.495294050035
6,5,706.556339616193
6,6,787.93936531972
6,7,811.956247516818
6,8,793.226647041389
6,9,814.713990804021
6,10,930.54813315906
6,11,1158.96315375029
6,12,1434.22956835551
6,13,1546.94576878819
6,14,1428.82391118683
6,15,1142.8234514287
6,16,885.709241237917
6,17,742.273690026976
6,18,729.614257010032
6,19,791.341102529006
6,20,850.935295901328
7,1,506.206575993512
7,2,518.285508282482
7,3,540.861247072773
7,4,609.943478777859
7,5,718.686995639398
7,6,817.081108066667
7,7,835.196760005778
7,8,825.95293022807
7,9,837.880301533166
7,10,936.189086487009
7,11,1148.43505098947
7,12,1400.22856728001
7,13,1535.76471068744
7,14,1328.3989901733
7,15,1022.53906802018
7,16,783.020622544144
7,17,689.806504286783
7,18,735.115789604321
7,19,872.906042033027
7,20,983.599438555491
8,1,706.191169524397
8,2,698.677225492791
8,3,655.629273468616
8,4,654.612925124154
8,5,710.299515789698
8,6,778.178408761866
8,7,817.864747696141
8,8,822.426055668187
8,9,847.626855699334
8,10,931.541702351987
8,11,1099.62079355246
8,12,1297.92778464754
8,13,1343.19468921396
8,14,1188.24036868858
8,15,915.585286976877
8,16,721.4612866426
8,17,662.755665505083
8,18,734.992045890869
8,19,887.08258553387
8,20,1048.14546544717
9,1,1198.93850917824
9,2,1110.5269409938
9,3,887.161296494145
9,4,727.952797918671
9,5,687.552788754219
9,6,715.05836418145
9,7,755.209550654093
9,8,784.318128920285
9,9,822.947052581919
9,10,888.859117222538
9,11,999.473579445138
9,12,1097.32899893064
9,13,1109.41081029338
9,14,976.544565920476
9,15,793.55489210947
9,16,662.862977108914
9,17,639.179239151457
9,18,715.190206201667
9,19,839.165979552008
9,20,919.358897635703
10,1,2120.5974922656
10,2,1728.07902285204
10,3,1159.77224707796
10,4,825.757519535811
10,5,680.107540812256
10,6,651.73811997015
10,7,677.943326560917
10,8,718.646927207482
10,9,759.890747125972
10,10,814.023012958367
10,11,879.949548963844
10,12,925.70380588825
10,13,896.715987276117
10,14,796.647425586586
10,15,675.291624675605
10,16,606.981065962346
10,17,616.731353623588
10,18,684.815130276203
10,19,757.796731618287
10,20,785.623857992247
11,1,3058.03976371534
11,2,2007.45603401223
11,3,1344.37561172844
11,4,903.589339870978
11,5,680.611090741477
11,6,603.802777487188
11,7,605.013061387474
11,8,643.126228583859
11,9,687.236316779383
11,10,731.003837235522
11,11,777.299189424879
11,12,793.999738033082
11,13,756.180779261569
11,14,674.275964640082
11,15,596.266600814841
11,16,565.359987199959
11,17,588.839861766666
11,18,641.755375535905
11,19,687.817335574367
11,20,706.404054044668
12,1,2280.09128583679
12,2,1877.05419650911
12,3,1314.36028259745
12,4,917.636760755885
12,5,679.321691708514
12,6,571.85856078107
12,7,553.080713999123
12,8,578.897364102053
12,9,619.690275442858
12,10,659.413211019671
12,11,689.437887054087
12,12,697.939747778797
12,13,666.067706239316
12,14,610.373698819836
12,15,560.980488511652
12,16,547.226252834811
12,17,565.663588073083
12,18,602.840135258744
12,19,633.69278955092
12,20,654.456217053709
13,1,1532.89314243331
13,2,1410.88620384445
13,3,1150.91547519535
13,4,867.810238466047
13,5,662.502161588305
13,6,550.380521148147
13,7,518.504724675417
13,8,535.308699391247
13,9,570.876390494093
13,10,605.131460710897
13,11,629.783944835548
13,12,636.901808805802
13,13,621.850609321145
13,14,591.412466462506
13,15,566.849744303508
13,16,559.131892909007
13,17,569.05315508166
13,18,585.339747279538
13,19,598.118011458169
13,20,593.025241289313
14,1,1082.61794752112
14,2,1060.3529730375
14,3,954.313673153867
14,4,790.138644637597
14,5,633.700879865296
14,6,534.263548957107
14,7,495.978051591214
14,8,504.740839106581
14,9,535.816696815223
14,10,567.562625254269
14,11,592.556533960109
14,12,604.41317612224
14,13,606.837877602486
14,14,609.151853088453
14,15,610.436629672366
14,16,615.245780413967
14,17,612.172951486313
14,18,603.285428902017
14,19,589.762852456333
14,20,573.336519641169
15,1,847.123064725942
15,2,846.291648185227
15,3,809.319792483946
15,4,714.811657368685
15,5,603.487381137928
15,6,516.558574762156
15,7,478.044046909423
15,8,478.406762471193
15,9,503.205412869953
15,10,540.896246894234
15,11,574.69721236098
15,12,595.346907750638
15,13,614.546607244818
15,14,642.004982091376
15,15,678.081491094733
15,16,697.891205266666
15,17,691.952983658996
15,18,659.998510140239
15,19,622.763358843509
15,20,591.105079733228
16,1,696.788887478017
16,2,707.553223085735
16,3,695.927576050107
16,4,646.810056608851
16,5,571.208934629172
16,6,504.510372273357
16,7,462.786395271496
16,8,453.612099995508
16,9,474.174012139118
16,10,514.526500209724
16,11,561.449757315815
16,12,596.834853612504
16,13,622.995153184211
16,14,667.759577448878
16,15,737.740973987542
16,16,783.27992198775
16,17,780.466250028351
16,18,733.309224706455
16,19,676.61963303799
16,20,634.163750975765
17,1,590.31050447359
17,2,595.217701329338
17,3,600.225875560678
17,4,582.731723254658
17,5,545.741489243345
17,6,501.467254409093
17,7,460.793314987736
17,8,438.50696927397
17,9,444.919656011976
17,10,481.54054270806
17,11,532.548980705854
17,12,574.552456090376
17,13,606.952976999975
17,14,662.793712038378
17,15,749.358411663539
17,16,824.881310508419
17,17,834.829196146036
17,18,787.565308292768
17,19,721.492199008913
17,20,664.839448922868
18,1,487.156451230537
18,2,497.301528017749
18,3,516.485843770291
18,4,529.682101182912
18,5,529.886782362701
18,6,510.155794506855
18,7,472.267729619239
18,8,433.144864057553
18,9,419.25211774535
18,10,439.833673305491
18,11,483.005669567352
18,12,520.405665346438
18,13,556.320200419557
18,14,611.471966985606
18,15,703.347719869492
18,16,799.564392617157
18,17,840.850762205578
18,18,810.770607149919
18,19,736.121677241258
18,20,677.381441482367
19,1,396.304508976104
19,2,417.236072563117
19,3,447.825408530703
19,4,491.506535878664
19,5,529.371887716223
19,6,533.337377263837
19,7,495.848142359825
19,8,433.91194748834
19,9,394.154657813108
19,10,394.766127878169
19,11,423.752734088888
19,12,458.648409541366
19,13,490.768818134957
19,14,544.023781749394
19,15,631.329747341134
19,16,746.993532867236
19,17,837.675757431893
19,18,833.142842439785
19,19,745.223747998532
19,20,650.676580635839
20,1,343.852977076595
20,2,362.933580913063
20,3,397.031070440849
20,4,457.433448954149
20,5,526.399831343215
20,6,559.946863173485
20,7,507.999896370932
20,8,427.601095956454
20,9,366.621008921193
20,10,353.864903464733
20,11,381.34490057186
20,12,410.375591783152
20,13,438.892473770409
20,14,480.565775470061
20,15,563.660508064657
20,16,691.793542435056
20,17,832.403801023543
20,18,889.444852492517
20,19,731.441580695863
20,20,595.634996414831
