"x","y","z"
1,1,175.970095982987
1,2,247.317113708744
1,3,308.764958387371
1,4,258.980577310026
1,5,189.114479236131
1,6,118.122174272095
1,7,117.36257042452
1,8,113.17791972735
1,9,117.365015522699
1,10,208.446632426107
1,11,190.309846988541
1,12,261.389190566513
1,13,269.738917011159
1,14,486.944866747495
1,15,279.596979422861
1,16,244.894185784364
1,17,421.674677460072
1,18,228.252513307246
1,19,238.651457668729
1,20,200.544916528482
2,1,210.904501715814
2,2,230.923556931757
2,3,209.856415195534
2,4,200.583557129311
2,5,158.882242267407
2,6,140.620759897599
2,7,138.870515054981
2,8,145.791718277162
2,9,159.636879253477
2,10,174.561837052608
2,11,254.606390373572
2,12,210.992638238015
2,13,260.309570158794
2,14,271.684004913726
2,15,288.6728523281
2,16,286.424543413895
2,17,274.493414985417
2,18,282.915346445177
2,19,203.898889975297
2,20,163.822713714198
3,1,334.420226259305
3,2,231.362976860759
3,3,203.861639769718
3,4,172.662147714156
3,5,161.866796039428
3,6,155.732405669153
3,7,173.562971406436
3,8,174.655927426421
3,9,167.104452832893
3,10,218.698561530918
3,11,205.629414955354
3,12,202.37826421777
3,13,194.193828022503
3,14,226.703128134418
3,15,315.457403897454
3,16,316.482048698384
3,17,312.168551848035
3,18,277.123591160641
3,19,238.001136762068
3,20,181.637608849744
4,1,304.823712133608
4,2,270.582310312437
4,3,220.956286524483
4,4,201.610508790982
4,5,191.345734622924
4,6,215.359138596941
4,7,182.221312298086
4,8,177.380204121332
4,9,197.408694244112
4,10,184.207957198123
4,11,188.900799442658
4,12,165.663410116381
4,13,168.461138637958
4,14,200.276139680664
4,15,258.63898308481
4,16,316.384182097481
4,17,266.348800943118
4,18,271.739499657784
4,19,235.663495554498
4,20,202.487999792306
5,1,336.399083804603
5,2,320.576530097558
5,3,349.945698571471
5,4,393.40957432065
5,5,299.629809193274
5,6,252.321834203244
5,7,262.318267506278
5,8,172.046517565828
5,9,168.105212977317
5,10,211.536325049022
5,11,183.869006056511
5,12,168.747162754432
5,13,165.414884039741
5,14,191.741747459984
5,15,203.393329012841
5,16,235.840176190485
5,17,247.826893554905
5,18,230.730465294954
5,19,297.23791053872
5,20,229.308210841851
6,1,221.910206204258
6,2,397.12692450495
6,3,843.244155629439
