"x","y","z"
1,1,786.452339587154
1,2,608.633554108315
1,3,382.090011634737
1,4,368.4186624482
1,5,351.556363716911
1,6,402.796761380063
1,7,483.710862393956
1,8,733.195454334103
1,9,1674.00671696114
1,10,663.273439448196
1,11,309.312942910259
1,12,239.027731848866
1,13,363.775805730711
1,14,384.658346452812
1,15,529.442605215368
1,16,1220.70666687335
1,17,3338.84201202958
1,18,1579.73056225516
1,19,968.946566660967
1,20,755.336503271445
2,1,503.719295413407
2,2,466.663947998461
2,3,407.763172612465
2,4,410.741295327393
2,5,433.371122488825
2,6,437.401800488009
2,7,603.942098257742
2,8,680.347348314108
2,9,609.853676970953
2,10,540.729636210404
2,11,290.985275376509
2,12,258.522159295329
2,13,360.671218141954
2,14,527.059995883326
2,15,726.146836216892
2,16,1254.3462192986
2,17,1424.20215135402
2,18,1377.21456431076
2,19,1513.47724476823
2,20,898.143380128338
3,1,583.566430145806
3,2,358.808401628009
3,3,354.967063962069
3,4,406.571428440094
3,5,462.30195885636
3,6,445.14388478445
3,7,452.002557634898
3,8,409.527317527108
3,9,359.204462259575
3,10,310.193358847749
3,11,299.51428948067
3,12,293.232735582794
3,13,386.747465573525
3,14,634.042505576877
3,15,813.937834247001
3,16,1096.82878881875
3,17,899.355162153969
3,18,916.535592375714
3,19,811.016574931553
3,20,899.266654514802
4,1,236.126067634008
4,2,288.538490286414
4,3,384.020111671609
4,4,454.390254884848
4,5,515.270238311275
4,6,455.257431418367
4,7,425.407879460963
4,8,371.619238600278
4,9,320.059840268801
4,10,309.774492161768
4,11,341.858014354422
4,12,356.910999679735
4,13,377.37457757909
4,14,511.302443227769
4,15,728.675837931636
4,16,810.11044741816
4,17,617.192043804435
4,18,489.791202789675
4,19,471.830113301624
4,20,394.900505720076
5,1,138.610873524013
5,2,214.006127880894
5,3,329.531642219779
5,4,561.728169407248
5,5,521.505438976042
5,6,547.229683644163
5,7,501.638696787858
5,8,496.416532058213
5,9,375.26424676278
5,10,322.401685328988
5,11,319.682057956052
5,12,331.65172067327
5,13,367.176835823461
5,14,410.303845747682
5,15,503.614543761696
5,16,494.075413986768
5,17,447.857654229475
5,18,355.371897685844
5,19,337.417225616531
5,20,288.933341970661
6,1,172.68178390229
6,2,194.858421458556
6,3,309.925097627693
6,4,429.711099520617
6,5,627.560330276255
6,6,491.564856977674
6,7,456.373076278239
6,8,449.348752540014
6,9,360.154760909504
6,10,320.674857225841
6,11,318.642309799374
6,12,394.983224180104
6,13,342.419349105221
6,14,403.623655711043
6,15,446.011166079922
6,16,493.306729112639
6,17,338.653478064041
6,18,342.36016225773
6,19,335.392870689392
6,20,309.16192057784
7,1,189.25411189165
7,2,259.619238030351
7,3,259.108952501813
7,4,345.67550316342
7,5,435.269933849079
7,6,450.257689280818
7,7,475.843455340311
7,8,482.822882938413
7,9,387.289549259983
7,10,336.573258320622
7,11,401.976033967217
7,12,333.547549948493
7,13,331.165927632458
7,14,376.646054657048
7,15,662.076608839289
7,16,408.947350670167
7,17,310.765900247469
7,18,280.267473717364
7,19,319.289062041696
7,20,509.174433914073
8,1,220.507959440041
8,2,264.610924244069
8,3,268.394324437853
8,4,298.274268261932
8,5,468.439076340296
8,6,684.147621864371
8,7,866.421369488805
8,8,819.824037491318
8,9,623.660808221032
8,10,480.222861209533
8,11,399.433009325447
8,12,355.574707660443
8,13,293.865801175541
8,14,376.343134066288
8,15,424.89149890073
8,16,410.061656695888
8,17,302.984470702708
8,18,254.594541224685
8,19,318.389986534121
8,20,313.972983562639
9,1,263.553586946931
9,2,318.155402124858
9,3,348.908902432721
9,4,363.810923200161
9,5,617.971067590768
9,6,1781.1939197679
9,7,2187.28133685231
9,8,2170.16621158263
9,9,1091.02818795483
9,10,689.926600859651
9,11,652.223209215671
9,12,423.995430328219
9,13,353.54577144143
