"x","y","z"
1,1,666.007838188627
1,2,512.294854910788
1,3,385.362710972899
1,4,311.3022612067
1,5,306.197045488675
1,6,356.628832142605
1,7,427.952698698859
1,8,447.789920581902
1,9,427.113020363448
1,10,345.989844256555
1,11,258.99245824074
1,12,199.036296293905
1,13,177.809521391163
1,14,194.303405060612
1,15,234.869430437435
1,16,271.024481384046
1,17,296.205685831021
1,18,267.520173714283
1,19,229.836635805326
1,20,204.902366628181
2,1,514.959717629979
2,2,458.181044954066
2,3,360.267455582898
2,4,299.980603021347
2,5,289.836303572413
2,6,324.759460260689
2,7,369.356043284267
2,8,389.589465922116
2,9,365.950659893417
2,10,308.502246405688
2,11,244.979872073985
2,12,196.070802739005
2,13,177.344368927422
2,14,185.670389225556
2,15,209.762788891564
2,16,238.261121542637
2,17,248.845332361589
2,18,238.975290723037
2,19,214.86321857353
2,20,197.068030107208
3,1,428.161888615865
3,2,384.912192776689
3,3,316.332517023931
3,4,268.027703329066
3,5,257.309225969615
3,6,277.716968008838
3,7,307.084066874512
3,8,319.527102272229
3,9,301.921013952793
3,10,262.286827174599
3,11,221.133217530926
3,12,188.2328267112
3,13,173.294297400267
3,14,175.546217393822
3,15,186.793086519058
3,16,202.58800639394
3,17,211.236832961784
3,18,209.344358313251
3,19,198.072957301921
3,20,186.374351569119
4,1,380.393327211857
4,2,324.112119936045
4,3,271.112210057755
4,4,234.10725089974
4,5,223.076854184145
4,6,234.774138386874
4,7,251.551791742108
4,8,259.295135639004
4,9,250.297421121916
4,10,226.986749588046
4,11,202.18048016413
4,12,183.641117915042
4,13,174.077394782227
4,14,172.740190454088
4,15,178.344425801336
4,16,188.321232705119
4,17,194.944862069643
4,18,199.062986337103
4,19,197.363770915812
4,20,189.734524154105
5,1,293.231154058905
5,2,265.305398254864
5,3,229.384323505669
5,4,206.321781098478
5,5,198.058641022717
5,6,204.709172112622
5,7,216.518281986893
5,8,223.606158513097
5,9,220.60424257619
5,10,208.830353692338
5,11,195.780165828536
5,12,186.852141442143
5,13,182.524867936183
5,14,183.93539808051
5,15,189.842888469452
5,16,200.166150467357
5,17,210.345908556587
5,18,222.16318152902
5,19,230.163947823017
5,20,228.189748454213
6,1,216.1444131301
6,2,210.916680436693
6,3,196.472181202697
6,4,185.302719470328
6,5,183.838017459918
6,6,190.014543568148
6,7,199.579192747071
6,8,207.57159212285
6,9,208.86361270266
6,10,202.703563213551
6,11,195.013427291683
6,12,191.199408785702
6,13,193.900909088019
6,14,202.600513454283
6,15,216.224711905396
6,16,233.358555684001
6,17,254.572474451709
6,18,279.710536421015
6,19,305.03080894651
6,20,312.360388757354
7,1,178.255588099673
7,2,179.841250246527
7,3,177.518311526175
7,4,176.726037031402
7,5,179.37068767196
7,6,186.299270071422
7,7,194.425677880376
7,8,200.863281944412
7,9,202.33520185475
7,10,195.780556724653
7,11,190.19793708745
7,12,191.084949227606
7,13,201.876636799058
7,14,221.317547953843
7,15,247.630887463083
7,16,279.456696930992
7,17,317.885127781171
7,18,368.351079720995
7,19,416.752196389342
7,20,437.450855084397
8,1,171.685396104916
8,2,173.827811946515
8,3,173.660738111499
8,4,175.846241153897
8,5,182.433825637144
8,6,188.813296067442
8,7,195.650272632071
8,8,200.189471780818
8,9,194.305392383618
8,10,186.25544558593
8,11,181.174911877451
8,12,184.763457942574
8,13,203.767550401587
8,14,233.504219760216
8,15,277.610309831058
8,16,332.362543626438
8,17,395.475912875499
8,18,471.324344025719
8,19,549.642332301526
8,20,597.011828032955
9,1,182.1429117492
9,2,178.250275854004
9,3,177.181110574231
9,4,180.786167165085
9,5,188.576980936356
9,6,197.64555387417
9,7,203.150979745169
9,8,200.000932208129
9,9,190.619793938771
9,10,178.036323551516
9,11,171.257804592598
9,12,176.687868140236
9,13,198.55915000724
9,14,239.806195587697
9,15,301.553672002742
9,16,382.03112366834
9,17,475.380404308426
9,18,568.596503814023
9,19,659.655070347631
9,20,737.306340756971
10,1,185.747703190234
10,2,180.014995229543
10,3,178.813981241886
10,4,185.055460339462
10,5,196.677375609994
10,6,208.325978867489
10,7,212.339992528965
10,8,208.382744206883
10,9,193.301172123327
10,10,176.779803474401
10,11,169.201830892954
10,12,174.089148542898
10,13,195.142860860019
10,14,240.566554986894
10,15,317.357699537415
10,16,421.268159081658
10,17,536.499774193793
10,18,641.439734528674
10,19,717.434833334295
10,20,757.859929094525
11,1,176.414872561811
11,2,173.966554630316
11,3,174.86841012376
11,4,182.783025391272
11,5,197.193159535731
11,6,212.485404831647
11,7,219.424156868755
11,8,213.913789664091
11,9,197.58373549154
11,10,183.705427289134
11,11,175.551338110845
11,12,178.797806735848
11,13,197.375972954746
11,14,239.316535734811
11,15,316.327752873779
11,16,428.6856429096
11,17,557.820174319538
11,18,655.536795635558
11,19,711.131101691821
11,20,737.969897318669
12,1,162.645179286189
12,2,162.573650129712
12,3,165.894820369895
12,4,175.320389721909
12,5,193.08577265228
12,6,208.94252955702
12,7,217.927744620033
12,8,214.885603320144
12,9,203.736845760307
12,10,194.298897615394
12,11,191.338840611566
12,12,194.15611710525
12,13,206.455445732776
12,14,237.702536296727
12,15,301.619909119545
12,16,397.44327494476
12,17,508.910227885172
12,18,605.164776146435
12,19,661.806983819482
12,20,688.597607317868
13,1,150.480067676304
13,2,152.225402288231
13,3,157.256924454869
13,4,168.726864356948
13,5,184.898686091442
13,6,202.117460975849
13,7,212.836587667896
13,8,215.263570138092
13,9,212.139102845894
13,10,211.356732900633
13,11,212.769222520121
13,12,216.005668392154
13,13,221.862169263773
13,14,239.13672082707
13,15,280.739900453398
13,16,345.707762705487
13,17,427.151693820971
13,18,506.890966756603
13,19,560.592615138564
13,20,596.464971751828
14,1,142.762768432635
14,2,146.727645687969
14,3,154.102765355225
14,4,167.714960586959
14,5,185.720717893068
14,6,204.291031815403
14,7,218.445865084971
14,8,225.999116262308
14,9,234.09873142023
14,10,242.896788250383
14,11,249.132043764942
14,12,249.476171706942
14,13,244.789350896007
14,14,245.62428000507
14,15,264.166862556915
14,16,301.146812242031
14,17,351.370444710552
14,18,403.544530809167
14,19,446.765259260687
14,20,462.592243139136
15,1,143.909005918386
15,2,149.390272299173
15,3,159.615784561765
15,4,175.888188173129
15,5,198.34667654919
15,6,222.829354699071
15,7,246.633093907842
15,8,272.973174631105
15,9,304.487688347807
15,10,334.29847914315
15,11,349.961383096703
15,12,338.455370507242
15,13,306.314340785392
15,14,272.435880093981
15,15,260.490747850196
15,16,272.809190855432
15,17,299.917206376
15,18,332.172497008116
15,19,358.46904099743
15,20,368.264570703254
16,1,156.005496133491
16,2,160.479335333688
16,3,171.264630687957
16,4,189.599857419944
16,5,217.024618844222
16,6,255.590141032041
16,7,315.238079569253
16,8,408.945898493627
16,9,543.639082429994
16,10,670.773771444671
16,11,717.777504715633
16,12,654.407939541066
16,13,514.100917620222
16,14,372.528396591986
16,15,286.703403051442
16,16,261.341245135696
16,17,273.142686486969
16,18,300.804147295634
16,19,325.266396358536
16,20,330.688453418617
17,1,171.135935083867
17,2,174.186862096838
17,3,181.253268019145
17,4,198.085151088398
17,5,229.471368647199
17,6,291.953776427465
17,7,429.844310321139
17,8,755.837878599064
17,9,1279.76965796845
17,10,1822.25348363063
17,11,2029.23889638496
17,12,1752.78840609995
17,13,1173.18402612468
17,14,654.200713969189
17,15,358.897292940835
17,16,266.833960165358
17,17,267.344849652445
17,18,296.641479351539
17,19,332.929951631637
17,20,352.112269683435
18,1,184.903120052817
18,2,183.654868294196
18,3,186.967461388451
18,4,196.910716574477
18,5,228.673671672022
18,6,317.980559763911
18,7,586.244887765516
18,8,1345.37144287755
18,9,3203.10944618766
18,10,5262.08357154152
18,11,6328.62214858642
18,12,5034.55134957692
18,13,2899.12520994752
18,14,1119.65691619667
18,15,460.474621520723
18,16,282.592208093524
18,17,269.471845681171
18,18,307.46530976114
18,19,349.945675064271
18,20,388.693833093082
19,1,190.569928063453
19,2,188.390904939353
19,3,185.687424098252
19,4,188.16164042542
19,5,214.046571111663
19,6,322.314689223523
19,7,701.937755502766
19,8,1938.29443818147
19,9,5601.30431845674
19,10,14851.6435412082
19,11,17341.3275368392
19,12,14093.8529436907
19,13,4927.82134732739
19,14,1557.33117846233
19,15,533.324417963502
19,16,289.647322567909
19,17,273.961506461499
19,18,313.860139550397
19,19,352.647434680244
19,20,376.104340050577
20,1,193.900350381614
20,2,187.111043954024
20,3,181.365150743105
20,4,179.318643352052
20,5,193.761512668467
20,6,291.677719473579
20,7,671.413340656235
20,8,2008.5918471988
20,9,6456.9203992381
20,10,19937.1998671738
20,11,56864.0995903079
20,12,18265.8259015285
20,13,5467.55986855697
20,14,1527.81521493226
20,15,494.958501113359
20,16,270.378227452926
20,17,267.055431434799
20,18,317.771911736398
20,19,353.249959737849
20,20,344.46013237301
